Timestamp;Age;Gender;Education Level;Number 1;Number 2;Number 3
27/03/2014 22:47:13;19;Male;College ( undergraduate );999;306;405
27/03/2014 22:50:58;18;Female;College ( undergraduate );345;123;111
27/03/2014 22:52:50;18;Male;College ( undergraduate );223;232;678
27/03/2014 22:57:54;23;Male;College ( undergraduate );999;127;246
27/03/2014 22:58:35;19;Male;College ( undergraduate );985;483;434
27/03/2014 22:59:17;22;Male;College ( undergraduate );243;754;187
27/03/2014 23:00:11;18;Male;Intermediate ( upto class 12th );777;123;111
27/03/2014 23:02:16;18;Male;College ( undergraduate );243;987;283
27/03/2014 23:02:30;21;Male;College ( undergraduate );111;222;999
27/03/2014 23:02:41;18;Male;College ( undergraduate );692;513;512
27/03/2014 23:03:59;20;Male;College ( undergraduate );125;789;671
27/03/2014 23:06:10;18;Male;College ( undergraduate );678;786;456
27/03/2014 23:06:06;24;Male;Post Graduate;311;889;381
27/03/2014 23:07:51;21;Male;College ( undergraduate );231;512;221
27/03/2014 23:25:55;20;Female;College ( undergraduate );590;732;451
27/03/2014 23:29:12;20;Male;College ( undergraduate );492;205;593
27/03/2014 23:29:24;21;Male;College ( undergraduate );101;111;121
27/03/2014 23:31:14;21;Male;College ( undergraduate );121;117;256
27/03/2014 23:33:00;56;Male;College ( undergraduate );123;672;831
27/03/2014 23:33:16;19;Female;College ( undergraduate );111;121;234
27/03/2014 23:33:32;23;Male;College ( undergraduate );435;971;632
27/03/2014 23:33:39;20;Male;College ( undergraduate );546;273;139
27/03/2014 23:34:43;19;Male;College ( undergraduate );111;111;111
27/03/2014 23:44:32;20;Male;College ( undergraduate );246;865;235
27/03/2014 23:52:47;29;Male;Post Graduate;121;109;729
27/03/2014 23:49:03;18;Male;College ( undergraduate );678;123;135
28/03/2014 02:07:13;19;Male;College ( undergraduate );542;860;921
27/03/2014 23:58:27;19;Male;College ( undergraduate );786;879;789
28/03/2014 00:13:25;20;Male;College ( undergraduate );595;646;988
28/03/2014 00:15:54;21;Male;College ( undergraduate );594;256;374
28/03/2014 00:30:55;20;Male;College ( undergraduate );754;589;483
28/03/2014 00:32:47;29;Male;College ( undergraduate );101;129;342
28/03/2014 00:39:10;18;Female;College ( undergraduate );454;902;987
28/03/2014 00:42:05;89;Male;College ( undergraduate );332;111;451
28/03/2014 00:43:47;19;Male;College ( undergraduate );468;878;888
28/03/2014 00:50:50;20;Male;College ( undergraduate );302;592;823
28/03/2014 01:03:41;20;Male;Post Graduate;100;343;999
28/03/2014 01:10:28;21;Male;College ( undergraduate );321;442;551
28/03/2014 01:11:29;21;Female;College ( undergraduate );856;222;545
28/03/2014 01:23:14;20;Male;College ( undergraduate );121;139;298
28/03/2014 01:32:02;21;Male;College ( undergraduate );343;786;123
28/03/2014 02:12:22;18;Male;College ( undergraduate );371;469;420
28/03/2014 02:12:48;20;Male;College ( undergraduate );746;890;325
27/03/2014 23:58:27;19;Male;College ( undergraduate );786;879;789
28/03/2014 03:26:52;21;Male;College ( undergraduate );111;919;610
28/03/2014 04:00:30;27;Male;College ( undergraduate );364;226;227
28/03/2014 04:18:12;21;Male;College ( undergraduate );347;243;142
28/03/2014 08:31:16;20;Male;Intermediate ( upto class 12th );312;451;168
28/03/2014 09:48:05;20;Male;College ( undergraduate );666;725;901
28/03/2014 11:59:23;19;Male;College ( undergraduate );111;145;239
28/03/2014 14:50:52;20;Male;College ( undergraduate );297;121;777
28/03/2014 17:21:20;19;Male;College ( undergraduate );666;177;719
28/03/2014 20:16:27;18;Female;College ( undergraduate );100;197;999
28/03/2014 19:14:10;89;Male;Intermediate ( upto class 12th );101;102;103
28/03/2014 22:56:13;36;Male;College ( undergraduate );172;336;189
29/03/2014 00:00:53;18;Female;Intermediate ( upto class 12th );348;257;999
29/03/2014 00:01:16;22;Female;College ( undergraduate );123;345;837
29/03/2014 00:01:58;19;Female;College ( undergraduate );864;457;879
29/03/2014 00:04:47;35;Female;College ( undergraduate );456;721;263
29/03/2014 00:06:05;11;Male;Intermediate ( upto class 12th );291;112;133
30/03/2014 13:07:05;21;Male;College ( undergraduate );131;564;654
30/03/2014 20:26:15;19;Male;College ( undergraduate );786;423;985
31/03/2014 07:23:35;21;Male;College ( undergraduate );635;392;187
31/03/2014 07:34:07;64;Male;Post Graduate;173;344;847
02/04/2014 10:48:34;21;Male;College ( undergraduate );369;129;497
02/04/2014 10:49:58;18;Male;Intermediate ( upto class 12th );315;100;999
02/04/2014 10:57:47;18;Female;College ( undergraduate );111;123;222
02/04/2014 10:51:18;21;Male;College ( undergraduate );222;222;222
02/04/2014 10:56:41;20;Male;College ( undergraduate );258;105;245
02/04/2014 11:46:18;21;Male;College ( undergraduate );215;127;361
02/04/2014 11:49:01;20;Female;College ( undergraduate );999;333;666
02/04/2014 11:44:07;98;Male;No formal education;777;386;492
02/04/2014 10:58:23;18;Male;College ( undergraduate );777;543;159
02/04/2014 11:01:32;20;Male;College ( undergraduate );476;435;898
02/04/2014 11:17:01;19;Male;College ( undergraduate );124;562;139
02/04/2014 12:19:37;20;Male;College ( undergraduate );143;100;999
02/04/2014 11:58:10;21;Male;College ( undergraduate );191;724;586
02/04/2014 12:02:52;21;Male;College ( undergraduate );343;786;512
02/04/2014 12:07:08;18;Male;College ( undergraduate );365;536;287
02/04/2014 12:07:39;20;Male;College ( undergraduate );565;231;931
02/04/2014 12:23:04;20;Male;College ( undergraduate );123;456;789
02/04/2014 12:31:25;20;Male;College ( undergraduate );256;456;119
02/04/2014 12:31:54;24;Male;College ( undergraduate );409;623;725
02/04/2014 12:28:05;18;Male;College ( undergraduate );713;345;321
02/04/2014 12:28:28;21;Male;College ( undergraduate );435;227;678
02/04/2014 12:28:36;21;Male;College ( undergraduate );631;185;279
02/04/2014 12:37:10;20;Male;College ( undergraduate );384;729;111
02/04/2014 12:43:08;19;Male;College ( undergraduate );231;341;593
02/04/2014 13:29:48;21;Male;College ( undergraduate );289;354;691
02/04/2014 12:52:52;18;Male;Intermediate ( upto class 12th );100;101;102
02/04/2014 12:53:18;21;Male;College ( undergraduate );453;982;131
02/04/2014 12:57:04;25;Male;Post Graduate;729;121;999
02/04/2014 13:06:08;19;Male;College ( undergraduate );131;574;558
02/04/2014 13:07:06;21;Male;College ( undergraduate );729;300;572
02/04/2014 13:17:46;22;Male;College ( undergraduate );245;717;991
02/04/2014 13:32:47;21;Male;College ( undergraduate );222;255;696
02/04/2014 13:33:46;20;Male;Post Graduate;101;301;787
02/04/2014 13:33:47;19;Female;College ( undergraduate );647;468;672
